Timestamp,Age,Gender,Faculty,Year of study,Sleep(night),Exercise frequency,Frequent food,Fast food consumption frequency,Do you follow any specific diet?,Diet type,Weight,Weight(kg),Health conditions,Weekly spend for food,University canteen usage,Preferred Sri Lankan foods,Weekly spend for food,University canteen usage,,Preferred Sri Lankan foods,,,Diet goal,What is your height (cm) ?,Food allergies
25/10/2024 10:10:08,24-26,Female,FAS,4th year,More than 8 hours,Never,"Traditional Sri Lankan food, Processed foods (e.g., instant noodles, frozen foods)",2-3 times a week,No specific diet,Dryfish,40 - 49 kg,157cm,Gastritis,"More than 3,000 LKR",Daily,"Rice and curry, Hoppers",Better health,,,,,,,,
25/10/2024 10:19:28,24-26,Male,FAS,4th year,6-8 hours,1-2 times per week,Traditional Sri Lankan food,Never,No specific diet,None,80 - 89 kg,172cm,High cholesterol,"2,000 - 3,000 LKR",Daily,"Rice and curry, String hoppers",Manage health conditions,,,,,,,,
25/10/2024 14:30:21,24-26,Female,FLFN,4th year,6-8 hours,Never,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",2-3 times a week,No specific diet,None,50 - 59 kg,144cm,Gastritis,"1,000 - 2,000 LKR",Rarely/Never,"Rice and curry, Hoppers, Roti",Better health,,,,,,,,
25/10/2024 14:35:40,24-26,Male,FLFN,4th year,More than 8 hours,1-2 times per week,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza),",2-3 times a week,No specific diet,None,50 - 59 kg,175cm,None,"2,000 - 3,000 LKR",Daily,"Rice and curry, String hoppers, Kottu, Hoppers, Roti,",Better health,,,,,,,,
25/10/2024 14:59:37,24-26,Female,FLFN,4th year,6-8 hours,Never,"Traditional Sri Lankan food, Fruits and vegetables",Once a week,No specific diet,None,40 - 49 kg,160cm,None,"2,000 - 3,000 LKR",Daily,"Rice and curry, Hoppers, Roti",Improve energy levels,,,,,,,,
26/10/2024 08:30:45,24-26,Female,FAS,4th year,5-6 hours,1-2 times per week,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",2-3 times a week,No specific diet,None,40 - 49 kg,152cm,None,"1,000 - 2,000 LKR",Daily,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Better health,,,,,,,,
26/10/2024 08:31:17,24-26,Female,FAS,4th year,5-6 hours,1-2 times per week,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Vegetarian/Vegan meals, Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",2-3 times a week,No specific diet,Nuts,60 - 69 kg,150cm,Gallstones,"2,000 - 3,000 LKR",Rarely/Never,"Rice and curry, Kottu",Better health,,,,,,,,
26/10/2024 08:31:40,24-26,Male,FAS,4th year,6-8 hours,Never,"Traditional Sri Lankan food, Fruits and vegetables",Once a week,No specific diet,None,70 - 79 kg,177cm,None,"Less than 1,000 LKR",Rarely/Never,Roti,Better health,,,,,,,,
26/10/2024 08:42:12,24-26,Female,FAS,4th year,Less than 5 hours,1-2 times per week,Traditional Sri Lankan food,2-3 times a week,No specific diet,None,50 - 59 kg,160cm,None,"2,000 - 3,000 LKR",Daily,Kottu,Improve energy levels,,,,,,,,
26/10/2024 08:49:52,24-26,Female,FAS,4th year,6-8 hours,3-4 times per week,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Vegetarian/Vegan meals, Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",2-3 times a week,No specific diet,None,40 - 49 kg,163cm,Gastritis,"1,000 - 2,000 LKR",Daily,"Rice and curry, String hoppers, Hoppers, Roti",Better health,,,,,,,,
26/10/2024 08:56:45,21-23,Female,BSF,2nd year,6-8 hours,1-2 times per week,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",2-3 times a week,No specific diet,None,40 - 49 kg,154cm,Gastritis,"2,000 - 3,000 LKR",Once a week,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Manage health conditions,,,,,,,,
26/10/2024 10:26:20,24-26,Female,FOT,4th year,6-8 hours,Never,Traditional Sri Lankan food,Once a week,No specific diet,None,Below 40 kg,155cm,None,"2,000 - 3,000 LKR",2-3 times a week,Rice and curry,Manage health conditions,,,,,,,,
27/10/2024 07:57:32,24-26,Female,FAS,4th year,5-6 hours,1-2 times per week,"Traditional Sri Lankan food, Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",2-3 times a week,No specific diet,None,50 - 59 kg,149cm,None,"2,000 - 3,000 LKR",Daily,Rice and curry,Better health,,,,,,,,
27/10/2024 15:28:18,24-26,Female,FAPM,4th year,5-6 hours,Never,"Traditional Sri Lankan food, Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",2-3 times a week,No specific diet,None,60 - 69 kg,152cm,None,"2,000 - 3,000 LKR",Rarely/Never,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Weight management,,,,,,,,
27/10/2024 17:10:59,24-26,Female,FAPM,4th year,6-8 hours,3-4 times per week,Traditional Sri Lankan food,2-3 times a week,No specific diet,None,50 - 59 kg,154cm,Gastritis,"1,000 - 2,000 LKR",Rarely/Never,"Rice and curry, Kottu, Hoppers",Better health,,,,,,,,
27/10/2024 17:31:44,24-26,Female,FAPM,4th year,5-6 hours,1-2 times per week,"Fast food (e.g., burgers, pizza)",2-3 times a week,No specific diet,None,60 - 69 kg,150cm,Gastritis,"2,000 - 3,000 LKR",Daily,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Weight management,,,,,,,,
27/10/2024 23:18:48,24-26,Female,FAPM,4th year,Less than 5 hours,1-2 times per week,"Traditional Sri Lankan food, Fast food (e.g., burgers, pizza), Processed foods (e.g., instant noodles, frozen foods), Fruits and vegetables",Once a week,No specific diet,None,40 - 49 kg,149cm,Gastritis,"1,000 - 2,000 LKR",2-3 times a week,"Rice and curry, String hoppers, Kottu, Hoppers, Roti",Better health,,,,,,,,
